STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TEMP,MAX,MIN,CELSIUS
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-20,83.12,88.34,78.08,28.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-22,79.52,81.68,76.46,26.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-23,82.58,88.34,77.72,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-25,82.22,87.98,77.00,27.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-27,82.40,88.34,77.36,28.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-31,81.50,86.90,73.76,27.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-02,80.96,84.92,75.92,27.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-03,81.68,87.26,76.46,27.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-06,82.22,87.08,76.82,27.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-09,82.40,89.24,76.64,28.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-11,81.32,87.08,76.46,27.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-12,81.50,88.88,75.92,27.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-19,80.96,86.90,75.38,27.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-22,79.88,85.28,76.10,26.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-23,81.68,87.80,76.46,27.60
